Algorithm	Matrix type	Avg silhouette	k	Silhouette	Gene k	Gene silhouette	Gene sims	Protein sims	Cluster count	Gene cluster count	Used attributes
pam	binary	0.2686726242421173	2	0.3156737126909505	3	0.22167153579328408	"{1=>[""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Stress granule assembly"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""Perinuclear region of cytoplasm"", ""DNA binding""], 2=>[""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nuclear body"", ""Nucleoplasm"", ""GTPase activity""], 3=>[""Axon guidance"", ""Neuromuscular process controlling balance"", ""Regulation of RNA splicing"", ""RNA transport"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Trans-Golgi network"", ""Intracellular"", ""Membrane"", ""Protein C-terminus binding""]}"	"{1=>[""Nucleotide-binding"", ""GTP binding""], 2=>[""Phosphoprotein"", ""RNA-binding"", ""Nucleus"", ""RNA binding""]}"	{1=>28, 2=>34}	{1=>14, 2=>5, 3=>2}	[:keywords, :tissues]
pam	jaccard	0.1911023772533142	5	0.17302346979339825	2	0.20918128471323016	"{1=>[""Acetylation"", ""Direct protein sequencing"", ""Phosphoprotein"", ""Cytoplasm"", ""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Transcriptional misregulation in cancer"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Spliceosomal complex"", ""Cytoplasm"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""DNA binding"", ""Zinc ion binding""], 2=>[""3D-structure"", ""Membrane"", ""Stress granule assembly"", ""Perinuclear region of cytoplasm""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Small GTPase mediated signal transduction"", ""Membrane"", ""GTP binding""], 2=>[""Metal-binding""], 3=>[""Alternative splicing"", ""Brain"", ""Nucleus""], 4=>[""Cytoplasm"", ""Methylation"", ""Spliceosome"", ""Testis"", ""Cytoplasm"", ""Ribonucleoprotein complex"", ""Spliceosomal complex""], 5=>[""Activator"", ""DNA-binding"", ""Transcription"", ""Transcription regulation"", ""Liver"", ""Embryonic fibroblast"", ""Transcription DNA-templated"", ""Regulation of transcription DNA-templated"", ""DNA binding""]}"	{1=>21, 2=>16, 3=>15, 4=>5, 5=>5}	{1=>17, 2=>4}	[:keywords, :tissues]
hclust	jaccard	0.23293579555753252	4	0.2795881021583126	2	0.18628348895675248	"{1=>[""Acetylation"", ""Direct protein sequencing"", ""Phosphoprotein"", ""Cytoplasm"", ""Transcriptional misregulation in cancer"", ""Regulation of translation"", ""Stress granule assembly"", ""Spliceosomal complex"", ""Cytoplasm"", ""Perinuclear region of cytoplasm"", ""Zinc ion binding"", ""Nucleic acid binding""], 2=>[""3D-structure"", ""Activator"", ""Membrane"", ""Regulation of alternative mRNA splicing via spliceosome""]}"	"{1=>[""Viral nucleoprotein"", ""Virion"", ""Natural killer cell mediated cytotoxicity"", ""B cell receptor signaling pathway"", ""Fc epsilon RI signaling pathway"", ""Viral myocarditis"", ""Whole embryo"", ""Thymus"", ""Ovary"", ""Cytokinesis"", ""Activation of Rac GTPase activity"", ""Cell chemotaxis"", ""Positive regulation of establishment of protein localization to plasma membrane"", ""Positive regulation of transcription DNA-templated"", ""Rho protein signal transduction"", ""Mast cell activation"", ""T cell differentiation"", ""Retina vasculature morphogenesis in camera-type eye"", ""Bone resorption"", ""Cell projection assembly"", ""Chemotaxis"", ""Positive regulation of cell proliferation"", ""Regulation of respiratory burst"", ""Immunological synapse"", ""Nuclear envelope"", ""Viral nucleocapsid"", ""Signal transducer activity"", ""Nucleic acid binding"", ""Kinase inhibitor activity"", ""SnRNA binding""], 2=>[""4Fe-4S"", ""Iron"", ""Iron-sulfur"", ""Lyase"", ""Tricarboxylic acid cycle"", ""Tumor suppressor"", ""Citrate cycle (TCA cycle)"", ""Glyoxylate and dicarboxylate metabolism"", ""Metabolic pathways"", ""Carbon metabolism"", ""2-Oxocarboxylic acid metabolism"", ""Biosynthesis of amino acids"", ""Neuromuscular process controlling balance"", ""Cellular iron ion homeostasis"", ""Citrate metabolic process"", ""Response to iron(II) ion"", ""Tricarboxylic acid cycle"", ""Regulation of RNA splicing"", ""Endoplasmic reticulum"", ""Golgi apparatus"", ""Trans-Golgi network"", ""4 iron 4 sulfur cluster binding"", ""Aconitate hydratase activity"", ""Iron-responsive element binding""], 3=>[""Isopeptide bond"", ""mRNA transport"", ""Transport"", ""Nonsense-mediated mRNA decay"", ""Transcription"", ""Transcription regulation"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Translation regulation"", ""SH3-binding"", ""RNA transport"", ""mRNA surveillance pathway"", ""RNA degradation"", ""Heart"", ""Testis"", ""Liver"", ""Lung"", ""Spleen"", ""Embryonic fibroblast"", ""MRNA splice site selection"", ""MRNA transport"", ""Nuclear export"", ""Nuclear import"", ""Regulation of alternative mRNA splicing via spliceosome"", ""Gene silencing by RNA"", ""Negative regulation of nuclear-transcribed mRNA catabolic process nonsense-mediated decay"", ""Nuclear-transcribed mRNA catabolic process nonsense-mediated decay"", ""Transcription DNA-templated"", ""Negative regulation of mRNA splicing via spliceosome"", ""RNA splicing via transesterification reactions"", ""Regulation of transcription DNA-templated"", ""DNA recombination"", ""DNA repair"", ""Nucleoplasm"", ""Ribonucleoprotein complex"", ""Perinuclear region of cytoplasm"", ""Nuclear matrix"", ""Nucleolus"", ""Paraspeckles"", ""Single-stranded DNA binding"", ""Poly(A) binding""], 4=>[""Cell cycle"", ""Cell division"", ""Cell projection"", ""Cytoskeleton"", ""Proto-oncogene"", ""Differentiation"", ""Neurogenesis"", ""Endosome"", ""Magnesium"", ""HTLV-I infection"", ""cGMP - PKG Signaling pathway"", ""Endocytosis"", ""Vascular smooth muscle contraction"", ""TGF-beta signaling pathway"", ""Tight junction"", ""Platelet activation"", ""T cell receptor signaling pathway"", ""Neurotrophin signaling pathway"", ""Oxytocin signaling pathway"", ""Pancreatic secretion"", ""Pertussis"", ""Tuberculosis"", ""Viral carcinogenesis"", ""Proteoglycans in cancer"", ""MicroRNAs in cancer"", ""Herpes simplex infection"", ""GnRH signaling pathway"", ""Non-alcoholic fatty liver disease (NAFLD)"", ""Renal cell carcinoma"", ""Insulin signaling pathway"", ""Pituitary"", ""Prostate"", ""Hippocampus"", ""3'-UTR-mediated mRNA stabilization"", ""MRNA catabolic process"", ""Negative regulation of inflammatory response"", ""Negative regulation of myeloid cell differentiation"", ""Negative regulation of transcription from RNA polymerase II promoter"", ""Negative regulation of translation involved in gene silencing by miRNA"", ""Nuclear-transcribed mRNA poly(A) tail shortening"", ""Regulation of tumor necrosis factor production"", ""Response to starvation"", ""RNA destabilization"", ""Androgen receptor signaling pathway"", ""Cell-matrix adhesion"", ""Cellular response to progesterone stimulus"", ""Cerebral cortex cell migration"", ""Cleavage furrow formation"", ""Forebrain radial glial cell differentiation"", ""Negative regulation of cell death"", ""Negative regulation of intracellular steroid hormone receptor signaling pathway"", ""Negative regulation of neuron apoptotic process"", ""Negative regulation of neuron differentiation"", ""Neuron projection morphogenesis"", ""Ossification involved in bone maturation"", ""Positive regulation of actin filament polymerization"", ""Positive regulation of cell adhesion"", ""Positive regulation of cell growth"", ""Positive regulation of cell migration"", ""Positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"", ""Positive regulation of cytokinesis"", ""Positive regulation of neuron apoptotic process"", ""Positive regulation of podosome assembly"", ""Positive regulation of smooth muscle contraction"", ""Positive regulation of translation"", ""Positive regulation of vasoconstriction"", ""Regulation of actin polymerization or depolymerization"", ""Regulation of calcium ion transport"", ""Regulation of cell migration"", ""Regulation of dendrite development"", ""Regulation of neural precursor cell proliferation"", ""Regulation of osteoblast proliferation"", ""Regulation of transcription from RNA polymerase II promoter"", ""Response to amino acid"", ""Response to drug"", ""Response to ethanol"", ""Response to glucocorticoid"", ""Response to glucose"", ""Response to hypoxia"", ""Response to mechanical stimulus"", ""Skeletal muscle tissue development"", ""Stress fiber assembly"", ""Stress-activated protein kinase signaling cascade"", ""Trabecula morphogenesis"", ""Actin filament branching"", ""Actin filament bundle assembly"", ""Adherens junction organization"", ""Canonical Wnt signaling pathway"", ""Cardiac conduction system development"", ""Cellular protein localization"", ""Epithelial cell-cell adhesion"", ""Epithelial-mesenchymal cell signaling"", ""Establishment of cell polarity"", ""Establishment of Golgi localization"", ""Establishment or maintenance of apical/basal cell polarity"", ""Filopodium assembly"", ""Golgi organization"", ""Hair follicle morphogenesis"", ""Hair follicle placode formation"", ""Heart contraction"", ""Keratinization"", ""Keratinocyte development"", ""Multicellular organism growth"", ""Negative regulation of gene expression"", ""Negative regulation of protein complex assembly"", ""Neuron fate determination"", ""Nuclear migration"", ""Organelle transport along microtubule"", ""Positive regulation of DNA replication"", ""Positive regulation of gene expression"", ""Positive regulation of hair follicle cell proliferation"", ""Positive regulation of intracellular protein transport"", ""Positive regulation of JNK cascade"", ""Positive regulation of metalloenzyme activity"", ""Positive regulation of peptidyl-serine phosphorylation"", ""Positive regulation of phosphatidylinositol 3-kinase activity"", ""Positive regulation of pseudopodium assembly"", ""Positive regulation of substrate adhesion-dependent cell spreading"", ""Positive regulation of synapse structural plasticity"", ""Regulation of attachment of spindle microtubules to kinetochore"", ""Regulation of exocytosis"", ""Regulation of filopodium assembly"", ""Regulation of mitosis"", ""Regulation of protein catabolic process"", ""Regulation of protein heterodimerization activity"", ""Regulation of protein kinase activity"", ""Regulation of protein stability"", ""Sprouting angiogenesis"", ""Submandibular salivary gland formation"", ""Cortical actin cytoskeleton organization"", ""Insulin receptor signaling pathway"", ""Negative regulation of establishment of protein localization to plasma membrane"", ""Positive regulation of filopodium assembly"", ""Positive regulation of glucose import"", ""Positive regulation of transcription from RNA polymerase II promoter"", ""Signal transduction"", ""Apical junction complex"", ""Axon"", ""Cell cortex"", ""Cytoskeleton"", ""Lamellipodium"", ""Midbody"", ""Ruffle membrane"", ""Apical part of cell"", ""Filopodium"", ""Microtubule organizing center"", ""Mitotic spindle"", ""Neuron projection"", ""Neuronal cell body"", ""Secretory granule"", ""Spindle midzone"", ""Actin filament"", ""Membrane raft"", ""Endosome membrane"", ""14-3-3 protein binding"", ""AU-rich element binding"", ""MRNA 3'-UTR AU-rich region binding"", ""GDP binding"", ""Protein domain specific binding"", ""Mitogen-activated protein kinase kinase kinase binding""]}"	{1=>7, 2=>23, 3=>26, 4=>6}	{1=>18, 2=>3}	[:keywords, :tissues]
pam	binary	0.2616477397924307	2	0.30162394379157736	3	0.22167153579328408	"{1=>[""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Stress granule assembly"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""Perinuclear region of cytoplasm"", ""DNA binding""], 2=>[""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nuclear body"", ""Nucleoplasm"", ""GTPase activity""], 3=>[""Axon guidance"", ""Neuromuscular process controlling balance"", ""Regulation of RNA splicing"", ""RNA transport"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Trans-Golgi network"", ""Intracellular"", ""Membrane"", ""Protein C-terminus binding""]}"	"{1=>[""Nucleotide-binding"", ""GTP binding""], 2=>[""Phosphoprotein"", ""RNA-binding"", ""Nucleus"", ""RNA binding""]}"	{1=>28, 2=>34}	{1=>14, 2=>5, 3=>2}	[:keywords, :pathways]
pam	jaccard	0.17366341445883465	3	0.1844553227256193	2	0.16287150619205004	"{1=>[""3D-structure"", ""Alternative splicing"", ""Activator"", ""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nucleoplasm"", ""Spliceosomal complex""], 2=>[""Direct protein sequencing"", ""Transcriptional misregulation in cancer"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Intracellular"", ""Nucleic acid binding"", ""Zinc ion binding""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""GTP binding""], 2=>[""Phosphoprotein"", ""RNA binding""], 3=>[""Nucleotide binding""]}"	{1=>24, 2=>22, 3=>16}	{1=>18, 2=>3}	[:keywords, :pathways]
pam	binary	0.20325640045421084	2	0.20395064182070616	3	0.2025621590877155	"{1=>[""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Stress granule assembly"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""Perinuclear region of cytoplasm"", ""DNA binding""], 2=>[""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nuclear body"", ""Nucleoplasm"", ""GTPase activity""], 3=>[""Axon guidance"", ""Neuromuscular process controlling balance"", ""Regulation of RNA splicing"", ""RNA transport"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Trans-Golgi network"", ""Intracellular"", ""Membrane"", ""Protein C-terminus binding""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Small GTPase mediated signal transduction"", ""GTP binding""], 2=>[""RNA-binding""]}"	{1=>21, 2=>41}	{1=>14, 2=>5, 3=>2}	[:keywords, :biological_process]
pam	jaccard	0.1452180148800213	3	0.2274323666896011	2	0.06300366307044153	"{1=>[""Direct protein sequencing"", ""Spliceosome"", ""Metal-binding"", ""DNA-binding"", ""Methylation"", ""Transcription"", ""Transcription regulation"", ""Nonsense-mediated mRNA decay"", ""4Fe-4S"", ""Iron"", ""Iron-sulfur"", ""Lyase"", ""Tricarboxylic acid cycle"", ""RNA transport"", ""mRNA surveillance pathway"", ""RNA degradation"", ""Citrate cycle (TCA cycle)"", ""Glyoxylate and dicarboxylate metabolism"", ""Metabolic pathways"", ""Carbon metabolism"", ""2-Oxocarboxylic acid metabolism"", ""Biosynthesis of amino acids"", ""Lung"", ""MRNA splicing via spliceosome"", ""Positive regulation of nuclear-transcribed mRNA catabolic process deadenylation-dependent decay"", ""Positive regulation of nuclear-transcribed mRNA poly(A) tail shortening"", ""Transcription DNA-templated"", ""Gene silencing by RNA"", ""Negative regulation of nuclear-transcribed mRNA catabolic process nonsense-mediated decay"", ""Nuclear-transcribed mRNA catabolic process nonsense-mediated decay"", ""Cellular iron ion homeostasis"", ""Citrate metabolic process"", ""Regulation of translation"", ""Response to iron(II) ion"", ""Tricarboxylic acid cycle"", ""MRNA splice site selection"", ""Nucleoplasm"", ""Spliceosomal complex"", ""Cytosol"", ""Ribonucleoprotein complex"", ""Endoplasmic reticulum"", ""Golgi apparatus"", ""Intracellular membrane-bounded organelle"", ""Metal ion binding"", ""Poly(A) binding"", ""4 iron 4 sulfur cluster binding"", ""Aconitate hydratase activity"", ""Iron-responsive element binding"", ""Iron-sulfur cluster binding"", ""MRNA 5'-UTR binding""], 2=>[""Membrane"", ""Stress granule assembly"", ""Small GTPase mediated signal transduction"", ""Perinuclear region of cytoplasm"", ""Nucleic acid binding""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Small GTPase mediated signal transduction"", ""GTP binding""], 2=>[""Repeat""], 3=>[""mRNA processing"", ""mRNA splicing"", ""Nucleus"", ""Phosphoprotein"", ""Acetylation"", ""MRNA processing"", ""RNA splicing"", ""RNA binding"", ""Nucleotide binding""]}"	{1=>22, 2=>15, 3=>25}	{1=>13, 2=>8}	[:keywords, :biological_process]
pam	binary	0.21883234221956988	2	0.23510252535142429	3	0.2025621590877155	"{1=>[""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Stress granule assembly"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""Perinuclear region of cytoplasm"", ""DNA binding""], 2=>[""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nuclear body"", ""Nucleoplasm"", ""GTPase activity""], 3=>[""Axon guidance"", ""Neuromuscular process controlling balance"", ""Regulation of RNA splicing"", ""RNA transport"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Trans-Golgi network"", ""Intracellular"", ""Membrane"", ""Protein C-terminus binding""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Small GTPase mediated signal transduction"", ""GTP binding""], 2=>[""RNA-binding""]}"	{1=>21, 2=>41}	{1=>14, 2=>5, 3=>2}	[:keywords, :cellular_component]
pam	jaccard	0.18688782141794258	3	0.240703097986366	4	0.1330725448495192	"{1=>[""Regulation of alternative mRNA splicing via spliceosome""], 2=>[""Developmental protein"", ""Differentiation"", ""SH3-binding"", ""Translation regulation"", ""Zinc"", ""Zinc-finger"", ""Cell membrane"", ""Lipoprotein"", ""Prenylation"", ""Ras signaling pathway"", ""Rap1 signaling pathway"", ""Chemokine signaling pathway"", ""Axon guidance"", ""Focal adhesion"", ""Adherens junction"", ""Leukocyte transendothelial migration"", ""Regulation of actin cytoskeleton"", ""Pathways in cancer"", ""Ovary"", ""Skin"", ""Ovarian carcinoma"", ""Cell differentiation"", ""Multicellular organismal development"", ""Gene expression"", ""RNA splicing via transesterification reactions"", ""U12-type spliceosomal complex"", ""Poly(A) RNA binding"", ""GTPase activity""], 3=>[""Isopeptide bond"", ""Ubl conjugation"", ""RNA transport"", ""Single-stranded DNA binding"", ""Protein C-terminus binding""], 4=>[""Intracellular""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Cell membrane"", ""Lipoprotein"", ""Methylation"", ""Prenylation"", ""Axon guidance"", ""Small GTPase mediated signal transduction"", ""Actin cytoskeleton organization"", ""Membrane"", ""Plasma membrane"", ""Intracellular"", ""GTP binding"", ""GTPase activity""], 2=>[""Metal-binding"", ""Regulation of translation""], 3=>[""Alternative splicing"", ""mRNA processing"", ""mRNA splicing"", ""Nucleus"", ""Acetylation"", ""Spliceosome"", ""MRNA processing"", ""RNA splicing"", ""Nucleus"", ""Cytoplasm""]}"	{1=>20, 2=>10, 3=>32}	{1=>9, 2=>5, 3=>5, 4=>2}	[:keywords, :cellular_component]
pam	binary	0.25594718064137256	2	0.30933220219502966	3	0.2025621590877155	"{1=>[""DNA-binding"", ""Activator"", ""Coiled coil"", ""DNA damage"", ""DNA recombination"", ""DNA repair"", ""Transcription"", ""Transcription regulation"", ""Spleen"", ""DNA recombination"", ""DNA repair"", ""Regulation of transcription DNA-templated"", ""Transcription DNA-templated"", ""Stress granule assembly"", ""Nuclear matrix"", ""Nuclear speck"", ""Nucleolus"", ""Paraspeckles"", ""Perinuclear region of cytoplasm"", ""DNA binding""], 2=>[""MRNA splicing via spliceosome"", ""MRNA splice site selection"", ""Nuclear body"", ""Nucleoplasm"", ""GTPase activity""], 3=>[""Axon guidance"", ""Neuromuscular process controlling balance"", ""Regulation of RNA splicing"", ""RNA transport"", ""Regulation of translation"", ""Small GTPase mediated signal transduction"", ""Trans-Golgi network"", ""Intracellular"", ""Membrane"", ""Protein C-terminus binding""]}"	"{1=>[""GTP-binding"", ""Membrane"", ""Nucleotide-binding"", ""Small GTPase mediated signal transduction"", ""GTP binding""], 2=>[""RNA-binding""]}"	{1=>21, 2=>41}	{1=>14, 2=>5, 3=>2}	[:keywords, :molecular_function]
